,dataset,r2_test,mse_test,symbolic_model
7681,626_fri_c2_500_50,0.8938565547824323,0.09693656891954143,"0.62*Add(Sin(1.53*Sub(Add(-1.16*oz2,Logistic(2.33)),oz1)),Sub(Sub(1.78*Sin(0.79*Sub(-1.53*oz2,oz1)),-0.31*oz5),If(oz12>-1.81,Log1p(-0.39*oz4),1.29)))"
8161,646_fri_c3_500_10,0.9487364315158319,0.05858985526777342,"Add(Sub(-0.60*Sin(Sub(Add(-1.75*oz2,-1.85),1.85*oz1)),If(oz5>3.53,-1.80*oz2,-0.41*oz4)),Sin(2.28*Sub(Sinh(Add(-0.47*oz2,-0.38*oz1)),0.06*Add(-0.31,Square(oz3)))))"
8250,602_fri_c3_250_10,0.9513408463500406,0.0540773310268833,"Sub(3.94*Sub(Sin(Add(1.56*Sub(-1.22*oz2,oz1),2.98)),Sub(-1.16*Sin(Sub(-1.81*oz2,1.48*oz1)),-0.03*oz1)),Add(Sub(If(oz3>2.97,-2.12,-0.35*oz4),0.66),0.41*Add(Cos(1.14*oz3),Exp(0.52*oz2))))"
8260,602_fri_c3_250_10,0.946295447995613,0.05228490744038172,"Sub(1.86*Log1p(0.62*Sin(Sub(Add(-1.38*oz2,1.72),1.21*Exp(0.64*oz1)))),Sub(Add(Mul(oz3,Add(-0.22*oz3,0.20)),0.04*oz8),Sub(If(oz1>2.04,Tan(3.21),Tan(0.29*oz4)),Sub(0.22,Tanh(0.36*oz5)))))"
8461,557_analcatdata_apnea1,0.8719522188553401,707623.9386433718,"Add(-0.00*Tan(Mul(1.00*Exp(Abs(2.94*Scorer_1)),Abs(0.26*Scorer_2))),0.99*Sub(Sub(-0.25,0.01*Scorer_1),If(Subject>-1.54,Sub(-0.04*Subject,Div(-0.00*Subject,9.33*Scorer_1)),-0.01)))"
8481,557_analcatdata_apnea1,0.9647189335313301,366214.4894682649,"Sub(-0.00*Sub(0.99*Sub(Tan(Mul(3.17*Scorer_1,Scorer_2)),If(Scorer_1>1.03,Sub(-540.54,-13.87*Scorer_2),-110.71*Scorer_2)),Sub(Ceil(2077.93*Scorer_1),577.91)),3.57*Log1p(0.25*Scorer_1))"
8667,547_no2,0.45889327889377596,0.2730772989142969,"-0.34*Sub(Log1p(Tanh(wind_speed)),Add(1.48*Add(2.24*Atan(cars_per_hour),Atan(Floor(temperature_diff_2m_25m))),Sub(If(wind_direction>-1.60,-0.80*temperature_at_2m,-6.83),Sub(Tanh(hour_of_day),0.36*day))))"
9021,229_pwLinear,0.8593800934240855,3.3090460539368927,"0.37*Sub(Sub(If(a1>-0.05,Add(a5,Add(a6,0.48*a7)),Add(Sinh(a2),Sinh(a3))),-0.51*Tanh(Sub(21.28*a5,a9))),Tan(a1))"
9041,229_pwLinear,0.8913457286901942,1.8727293338538982,"-0.19*Sub(2.05*Sub(Tan(a1),If(a1>-0.09,Sub(Add(a6,0.63*a5),Log1p(-0.44*a7)),Add(Sinh(a2),1.19*a3))),a5)"
9067,229_pwLinear,0.8511066194888568,3.074306578444367,"Sub(If(a1>-0.09,Sub(0.34*a5,-0.39*a6),2.24*Logistic(Add(a2,a3))),Add(Add(0.41,-0.17*a7),-0.20*a5))"
9091,229_pwLinear,0.8485927108666991,2.8729498090228933,"-0.40*Sub(Add(Tan(a1),Log1p(-0.36*a5)),If(a1>-0.01,Sub(Add(a6,Tanh(a5)),-0.42*a7),Add(Sinh(a2),a3)))"
9109,229_pwLinear,0.8922927374488523,2.3340231662939295,"0.40*Sub(If(a1>-0.04,Add(a6,Tanh(Tanh(a7))),Sinh(Add(a2,0.29*a5))),-1.27*Sub(If(a1>-0.04,Sub(a5,Add(-0.25*a2,-0.18*a4)),0.93*a3),a1))"
9215,658_fri_c3_250_25,0.9104691817763403,0.08819609223429889,"1.43*Sub(Log1p(Add(-1.15*Sin(1.03*Sub(oz2,-0.82*oz1)),Log1p(0.42))),0.49*Sub(If(oz1>2.07,Tan(1.01),-0.45*oz4),Add(oz5,Add(0.64*Sub(oz2,0.12*oz20),1.14*Sin(-0.84*oz3)))))"
9638,593_fri_c1_1000_10,0.6928513463362435,0.30917160123113213,"Add(Sub(-0.61*Sin(Sub(-1.96*oz2,1.93*Add(oz1,0.40))),-0.19*oz5),0.40*Add(2.64*Tan(If(oz3>-1.74,0.34*oz4,75.52*oz2)),Sub(3.05*Sin(Sub(-1.62*oz2,1.48*oz1)),Sub(Sin(1.48*oz2),-0.40*oz1))))"
9772,612_fri_c1_1000_5,0.9712493927186319,0.030830385404438908,"Add(0.93*Sin(Add(Abs(Add(-1.70*oz2,2.43)),-1.70*oz1)),Add(-1.72*Add(Sin(1.41*Add(oz2,0.93*oz1)),2.34*Sub(1.72*Tanh(-0.06*oz4),-0.19)),Add(If(oz1>-2.21,0.20*oz5,-1.29*oz5),0.62*Add(0.00*Sinh(-3.25*oz1),Cosh(-0.76*oz3)))))"
9826,594_fri_c2_100_5,0.8469103722150383,0.16367691530597178,"Sub(Add(0.46*Sin(Mul(2.11,Add(oz1,oz2))),-1.18*Sin(1.46*Add(Add(oz1,8.07),oz2))),Sub(Sub(If(oz5>-1.79,If(oz3>-1.50,-0.24*oz5,-0.97),0.84),-0.24*oz1),Sub(-0.41*Add(-1.04*oz4,Sin(oz3)),0.24*oz2)))"
9903,594_fri_c2_100_5,0.902361458385089,0.10425273825947698,"0.01*Sub(Sinh(Add(1.35*Sin(0.99*Sub(-0.75*oz1,oz2)),-5.87)),Sub(Add(If(oz3>-1.40,-43.04*oz4,-83.40),Sub(Add(-36.13*oz5,-88.23*oz2),260.50)),Ceil(67.31*oz1)))"
10239,663_rabe_266,0.9994021363773006,1.845721918826166,"Add(Mul(Sub(If(col_1>-0.07,0.55*col_1,If(col_1>-1.55,0.74*col_1,-0.85)),1.68),Sin(Logistic(Log1p(0.67*col_2)))),Add(-1.40*Sinh(-0.46*col_1),0.71))"
10368,1030_ERA,0.2788724240564171,2.369786747127625,"0.14*Add(Add(Sub(2.73*in1,If(in2>-0.02,Sub(-3.48*in2,in3),2.62)),in3),in4)"
10414,1030_ERA,0.3602214098520353,2.6248426538292997,"Add(Cosh(0.24*Add(Add(Add(in2,in1),0.62*Logistic(36.51*in3)),6.60)),-0.04*Add(If(in2>-0.24,Floor(6.92*in1),Add(0.62*Tan(1.03*in1),-1.63*in4)),Add(Add(66.54,4.36*in2),Floor(Square(in3)))))"
10433,1030_ERA,0.4325149794065777,2.1820843214254984,"Tan(0.19*Add(Add(in1,in2),Sub(If(in2>-0.02,Add(in2,in1),-1.06),Tanh(Sub(-1.48*in3,in4)))))"
10454,1030_ERA,0.3633548585663994,2.558040178280207,"Sinh(0.22*Add(Add(Add(Sinh(in1),Square(in2)),If(in2>-0.04,Pow(1.36,in1),2.89*Add(0.25*in4,in2))),1.07*in3))"
